revision,authority,expected,min_pct,note
basic,s232,active,0.5,Baseline 232 steel/aluminum
basic,s301,active,0.1,Trump-era 301 (China only)
basic,ieepa_recip,inactive,,Pre-IEEPA
basic,ieepa_fent,inactive,,Pre-fentanyl EOs
basic,s122,inactive,,Pre-S122
rev_1,ieepa_fent,active,0.1,China fentanyl +10%
rev_7,ieepa_recip,active,0.1,Liberation Day (10% universal baseline persists through Phase 1 suspension)
2026_rev_4,ieepa_recip,inactive,,SCOTUS invalidation
2026_rev_4,ieepa_fent,inactive,,SCOTUS invalidation
2026_rev_4,s122,active,0.1,Section 122 Phase 3
basic,s338,inactive,,Pre-S338
bnd_2026-07-24,s122,inactive,,Section 122 sunset (150-day limit; expiry 2026-07-23)
bnd_2026-08-19,s338,active,0.001,Section 338 Canada +50% (pct_s338 kept at 4 decimals for this gate)
